12:55:34.255 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Opponent-Naive.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Opponent Naive
12:55:34.350 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:55:34.397 CONFIG | Reading config\settings_auction.xml
12:55:34.412 CONFIG | Reading config\topology\england.xml
12:55:34.428 CONFIG | Reading tournament\MyEvent\agents.xml
12:55:46.241 CONFIG | lowest = 0.0,  estimate * beta = -2090.154209243423 * 0.85
12:55:56.959 CONFIG | total cost: 9911.0
12:56:04.472 CONFIG | Wrote tournament\MyEvent\auction-Opponent-Naive.xml
12:56:04.706 INFO | LogistPlatform finished successfully!
12:56:04.721 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Opponent-Random.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Opponent Random
12:56:04.816 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:56:04.909 CONFIG | Reading config\settings_auction.xml
12:56:04.925 CONFIG | Reading config\topology\england.xml
12:56:04.941 CONFIG | Reading tournament\MyEvent\agents.xml
12:56:09.057 CONFIG | lowest = 0.0,  estimate * beta = -5757.879818327741 * 0.85
12:56:10.869 CONFIG | lowest = 0.0,  estimate * beta = -8217.030107554292 * 0.85
12:56:49.875 CONFIG | total cost: 9351.0
12:56:50.829 CONFIG | Done in 35000 iterations; final solution cost = 12579.0
12:57:04.452 CONFIG | Wrote tournament\MyEvent\auction-Opponent-Random.xml
12:57:04.686 INFO | LogistPlatform finished successfully!
12:57:04.686 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Random-dummy.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Random dummy
12:57:04.765 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:57:04.843 CONFIG | Reading config\settings_auction.xml
12:57:04.859 CONFIG | Reading config\topology\england.xml
12:57:04.874 CONFIG | Reading tournament\MyEvent\agents.xml
12:57:08.760 CONFIG | Done in 35000 iterations; final solution cost = 2114.0
12:57:10.320 CONFIG | Done in 10000 iterations; final solution cost = 14565.5
12:57:17.358 CONFIG | Wrote tournament\MyEvent\auction-Random-dummy.xml
12:57:17.577 INFO | LogistPlatform finished successfully!
